# Written by the BoltzWann module of the Wannier90 code.
# The first column.
# The second column is the DOS for a fixed smearing of   0.300000E-01 eV.
# Cell volume (ang^3):     40.3295    
# Energy(eV) DOS [DOS DOS ...]
   -12.59788784       0.000000000    
   -12.58788784       0.000000000    
   -12.57788784       0.000000000    
   -12.56788784       0.000000000    
   -12.55788784       0.000000000    
   -12.54788784       0.000000000    
   -12.53788784       0.000000000    
   -12.52788784       0.000000000    
   -12.51788784       0.000000000    
   -12.50788784       0.000000000    
   -12.49788784       0.000000000    
   -12.48788784       0.000000000    
   -12.47788784       0.000000000    
   -12.46788784       0.000000000    
   -12.45788784       0.000000000    
   -12.44788784       0.000000000    
   -12.43788784       0.000000000    
   -12.42788784       0.000000000    
   -12.41788784       0.000000000    
   -12.40788784       0.000000000    
   -12.39788784       0.000000000    
   -12.38788784       0.000000000    
   -12.37788784       0.000000000    
   -12.36788784       0.000000000    
   -12.35788784       0.000000000    
   -12.34788784       0.000000000    
   -12.33788784       0.000000000    
   -12.32788784       0.000000000    
   -12.31788784       0.000000000    
   -12.30788784       0.000000000    
   -12.29788784       0.000000000    
   -12.28788784       0.000000000    
   -12.27788784       0.000000000    
   -12.26788784       0.000000000    
   -12.25788784       0.000000000    
   -12.24788784       0.000000000    
   -12.23788784       0.000000000    
   -12.22788784      0.2819141896E-45
   -12.21788784      0.1902468248E-42
   -12.20788784      0.1024470540E-39
   -12.19788784      0.4423574703E-37
   -12.18788784      0.1531766122E-34
   -12.17788784      0.4254165324E-32
   -12.16788784      0.9477724831E-30
   -12.15788784      0.1694085636E-27
   -12.14788784      0.2429920499E-25
   -12.13788784      0.2797500521E-23
   -12.12788784      0.2585711040E-21
   -12.11788784      0.1919326834E-19
   -12.10788784      0.1144524428E-17
   -12.09788784      0.5485060772E-16
   -12.08788784      0.2113594594E-14
   -12.07788784      0.6552199342E-13
   -12.06788784      0.1635181102E-11
   -12.05788784      0.3287797509E-10
   -12.04788784      0.5331220376E-09
   -12.03788784      0.6979889130E-08
   -12.02788784      0.7389467017E-07
   -12.01788784      0.6337609115E-06
   -12.00788784      0.4413717178E-05
   -11.99788784      0.2503521806E-04
   -11.98788784      0.1161017044E-03
   -11.97788784      0.4424090940E-03
   -11.96788784      0.1394093651E-02
